Nota,Name,Status,Período Esperado,Ano feito,Categoria,Tempo Computado,Código,HT[eóricas],HP[ráticas],HE[xtra classe],H total,CR
, Estágio Supervisionado ,Not started,10,2023.2,Obrigatória,0,INF01127,0,0,204,204,3
, Monografia ,Not started,10,2023.2,Obrigatória,0,INF01131,0,0,136,136,2
,,In progress,7,2023.1,Eletiva Optativa,0,INF01220,34,34,0,68,3
,IA 2,In progress,8,"2022.2, Verão",Eletiva Optativa,0,,68,,,68,
," Metodologia Científica para
  Engenharia de Produção ",In progress,7,2023.1,Obrigatória,0,PRO01122,68,0,0,68,4
, Interface Homem-Máquina,In progress,7,2023.1,Obrigatória,0,INF01123,68,0,0,68,4
, Projeto de Monografia ,In progress,9,2023.1,Obrigatória,0,INF01130,0,0,136,136,2
, Teste de Software ,In progress,7,2023.1,Obrigatória,0,INF01121,34,34,0,68,3
8.6,Tópicos Especiais em Inteligência Artificial II - Sistemas Inteligentes,Done,8,"2022.2, Verão",Eletiva Optativa,68,INF01133,34,34,0,68,3
10," Paradigma Orientado a Objetos para
  Desenvolvimento de Software ",Done,6,"2022.2, Verão",Obrigatória,68,INF01210,68,0,0,68,4
9,Energia e Meio Ambiente,Done,0,"2020.2, COVID",Eletiva Livre,0,LMT01310,34,0,0,34,2
7.9,T.e.Economia: Introdução à Economia,Done,0,"2021.1, COVID",Eletiva Livre,0,LGP14012,68,0,0,68,4
9.5,Sociologia,Done,0,"2020.2, COVID",Eletiva Livre,0,,68,0,0,68,4
8.5,Teoria Geral da Administração,Done,0,"2021.1, COVID",Eletiva Livre,0,LGP04001,68,0,0,68,4
8.2,Tópicos Especiais em Sistemas Operacionais,Done,8,"2020.2, COVID",Eletiva Optativa,51,INF01240,17,34,,51,2
10,"Tópicos Especiais em Computação II: Programação de Aplicações de
Microcontrolador Digital",Done,7,"2020.2, COVID",Eletiva Optativa,68,,34,34,,68,
8,Tóp. Especiais em Filosofia - Teoria da DecisãoLCL14006,Done,0,2022.2,Eletiva Livre,0,LCL14006,68,0,0,68,4
8.4,Tópicos Especiais em Simulação Computacional II:Heurísticas e Complexidade,Done,8,2022.2,Eletiva Optativa,68,,68,,,68,
10,Português Instrumental I,Done,0,"2020.2, COVID",Eletiva Livre,0,LEL04101,0,68,0,68,2
6.3, Física Geral I ,Done,2,2019.2,Obrigatória,68,FIS01202,68,0,0,68,4
